"","CODE_MOSAD","KITA","MAKBILA","Lang","English","Math","Tech","dummy_yes_no_website","dummy_dont_know_website","dummy_yes_no_download","dummy_dont_know_download","dummy_yes_no_upload","dummy_dont_know_upload","dummy_yes_no_forum","dummy_dont_know_forum","Love_z","Good_z","Respect_z","Noise_z","Rude_z","Teachers_z","feel_index","behave_index","CODE_MIN","ERETS_LEDA","SHNOT_LIMUD_AV","SHNOT_LIMUD_EM","MISPAR_ACHIM_TSAD_AV_EM","SHNAT_LIMUD","CODE_MACHOZ_GEOGRAFI","CODE_YISHUV","SHLAV_CHINUCH_YESODI","CODE_SUG_CHINUCH","CODE_SUG_MOSAD","CODE_SUG_PIKUACH","CODE_MIGZAR","CODE_SFAT_LIMUDIM","SHNAT_YISUD","CODE_DATI","YESODI","MOSDOT","SES_index","SHNAT_LIMUDIM.y","treat","after","did","TALMIDIM"
"1","D0108756130N0132647546C",5,1,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.0434782608695652,0.956521739130435,0.0434782608695652,0.0434782608695652,0,0.347826086956522,0,0.173913043478261,0,0.128480030577286,0.0347665511082945,-0.0686559781506957,0.288294850552225,0.758391287268643,0.0616554798664231,0.08162329084279,0.259921409884149,0.571428571428571,0.821428571428571,12.3214285714286,12.9642857142857,1.35714285714286,"2008",2,"D0549469795N3298556151C",1,1,1,1,"0",1,22,NA,1,1,5.96125907990315,NA,0,0,0,28
"2","D0108756130N0132647546C",5,2,0.0689655172413793,0.0689655172413793,0.0344827586206897,0.0344827586206897,0.964285714285714,0.0357142857142857,0.103448275862069,0,0.379310344827586,0,0.214285714285714,0,0.624297379196027,0.76339962331616,0.92871060208946,-0.0515043901771123,-0.72254550049977,-0.0221718649230528,0.693848501256094,0.0331222116223814,0.6,0.8,13.1,12.8666666666667,1.2,"2008",2,"D0549469795N3298556151C",1,1,1,1,"0",1,22,NA,1,1,5.96125907990315,NA,0,0,0,30
"3","D0108756130N0133506418C",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293431125947044,0.239204150315521,-0.108139169026273,0.435950635997451,0.0711954888185065,0.2134190321385,0.266317638131283,0.153106496982046,0.578947368421053,1,13.5526315789474,13.0526315789474,2.02631578947368,"2008",2,"D0549469795N0549621446C",1,1,1,1,"1",2,60,0,1,1,6.54441913439635,2014,1,0,0,38
"4","D0108756130N0133506418C",5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0844205885937123,0.0377917180747566,-0.280512544006223,0.57273731501407,0.0802046820436455,0.181493162910533,0.0611061533342345,0.138480653990506,0.555555555555556,0.972222222222222,13.5833333333333,13,2.13888888888889,"2008",2,"D0549469795N0549621446C",1,1,1,1,"1",2,60,0,1,1,6.54441913439635,2014,1,0,0,36
"5","D0108756130N0155361388C",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0422767745224683,0.0377917180747566,-0.160692027251868,0.091035949683993,0.496551408536655,0.0830550661242999,0.0400342462986125,0.12748759927327,0.333333333333333,0.791666666666667,10.5833333333333,12.2083333333333,1.58333333333333,"2008",2,"D0549469795N4468175058C",1,1,1,1,"0",1,70,NA,1,1,7.47894736842105,2014,1,0,0,24
"6","D0108756130N0159240920C",5,1,0.136363636363636,0.0909090909090909,0.0909090909090909,0.227272727272727,0.6,0.35,0.222222222222222,0,0.611111111111111,0,0.555555555555556,0,0.887068683859677,0.48689150500499,0.81602673053364,-0.413070130312599,-1.31772180005708,0.0502423671955555,0.686980094432334,-0.216130708160121,0.56,1,20.08,22.84,3.4,"2008",2,"D0549469795N6523072589C",1,1,1,1,"1",2,50,NA,1,1,8.27031802120141,2014,1,0,0,25
"7","D0108756130N0159240920C",5,2,0.571428571428571,0.25,0.321428571428571,0.607142857142857,0.818181818181818,0.0454545454545455,0.769230769230769,0,0.666666666666667,0,0.814814814814815,0,0.793841458792986,0.554663102630277,1.07745331254314,-1.48849643430533,-1.21965297797093,-1.14559821598535,0.674252280711631,-0.694073578929617,0.428571428571429,1,17.7857142857143,20.2857142857143,2.96428571428571,"2008",2,"D0549469795N6523072589C",1,1,1,1,"1",2,50,NA,1,1,8.27031802120141,2014,1,0,0,28
"8","D0108756130N0159240920C",5,3,0.0967741935483871,0.032258064516129,0.0645161290322581,0.387096774193548,0.76,0.16,0.4,0,0.333333333333333,0,0.275862068965517,0,0.623453565343655,0.552675135766602,0.853788347935012,-0.25175618471369,-0.15872662994806,-0.266569898323356,0.588064350555129,0.0441839087374767,0.5,1,17.6875,19.03125,3.5,"2008",2,"D0549469795N6523072589C",1,1,1,1,"1",2,50,NA,1,1,8.27031802120141,2014,1,0,0,32
"9","D0108756130N0296750454C",5,1,0.0606060606060606,0.0303030303030303,0.0303030303030303,0.0909090909090909,0.833333333333333,0.0666666666666667,0.363636363636364,0,0.181818181818182,0,0.303030303030303,0,0.48478682227053,0.233877540537253,-0.244203296504904,0.295733570046246,-0.101992600642024,0.265016396547337,0.359332181403892,0.0536385173616636,0.303030303030303,1,14,13.6363636363636,1.93939393939394,"2008",2,"D0549469795N0549621446C",1,1,1,1,"1",2,60,0,1,1,6.39366515837104,2014,1,0,0,33
"10","D0108756130N0296750454C",5,2,0,0,0.0303030303030303,0.0303030303030303,0.909090909090909,0,0.241379310344828,0,0.310344827586207,0,0.241379310344828,0,0.553749427114384,0.436288712111443,1.06292961354262,-0.168655061223342,-0.540972152397478,-0.0892116032516081,0.495019069612913,0.0660226991675469,0.363636363636364,1,13.8787878787879,11.8181818181818,1.87878787878788,"2008",2,"D0549469795N0549621446C",1,1,1,1,"1",2,60,0,1,1,6.39366515837104,2014,1,0,0,33
